start scheme21 arm=F_mi_080 n_times=800 t0_max=1.2 two_stage=None inwin=None
fold4 ep 002  tr=1.1388  val_AccPaper=0.5115  val_BalAccMaj=0.5126
fold4 ep 003  tr=1.0712  val_AccPaper=0.4989  val_BalAccMaj=0.4996
fold4 ep 004  tr=1.0300  val_AccPaper=0.5030  val_BalAccMaj=0.5041
fold4 ep 005  tr=1.0119  val_AccPaper=0.5026  val_BalAccMaj=0.5067
fold4 ep 006  tr=0.9948  val_AccPaper=0.5081  val_BalAccMaj=0.5107
fold4 ep 007  tr=0.9795  val_AccPaper=0.5063  val_BalAccMaj=0.5096
fold4 ep 008  tr=0.9688  val_AccPaper=0.5078  val_BalAccMaj=0.5093
fold4 ep 009  tr=0.9564  val_AccPaper=0.5207  val_BalAccMaj=0.5237
fold4 ep 010  tr=0.9501  val_AccPaper=0.4970  val_BalAccMaj=0.4989
fold4 ep 011  tr=0.9490  val_AccPaper=0.5133  val_BalAccMaj=0.5148
fold4 ep 012  tr=0.9423  val_AccPaper=0.5037  val_BalAccMaj=0.5085
fold4 ep 013  tr=0.9404  val_AccPaper=0.5167  val_BalAccMaj=0.5178
fold4 ep 014  tr=0.9380  val_AccPaper=0.5096  val_BalAccMaj=0.5122
fold4 ep 015  tr=0.9323  val_AccPaper=0.5174  val_BalAccMaj=0.5207
fold4 ep 016  tr=0.9261  val_AccPaper=0.5030  val_BalAccMaj=0.5048
fold4 ep 017  tr=0.9253  val_AccPaper=0.5085  val_BalAccMaj=0.5104
fold4 ep 018  tr=0.9199  val_AccPaper=0.5196  val_BalAccMaj=0.5211
fold4 ep 019  tr=0.9201  val_AccPaper=0.5093  val_BalAccMaj=0.5122
fold4 ep 020  tr=0.9215  val_AccPaper=0.5067  val_BalAccMaj=0.5089
fold4 ep 021  tr=0.9157  val_AccPaper=0.5093  val_BalAccMaj=0.5115
