lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
316014.03891448333,-652.51220703125,-1224.2254638671875,-1091.354248046875,-1159.7835693359375,-1067.4268798828125,-660.5422973632812,-1318.5091552734375,-1508.634521484375
316014.04291448335,-655.6976318359375,-1228.810302734375,-1095.639892578125,-1164.10205078125,-1070.6717529296875,-662.5821533203125,-1323.2303466796875,-1513.0120849609375
316014.04691448336,-661.6513671875,-1235.231689453125,-1101.914306640625,-1170.43798828125,-1076.7445068359375,-668.3160400390625,-1329.6837158203125,-1519.4124755859375
316014.0509144834,-661.3630981445312,-1234.01171875,-1100.859130859375,-1169.3988037109375,-1076.4222412109375,-668.82568359375,-1328.2933349609375,-1518.27490234375
316014.05491448333,-656.1353149414062,-1227.85009765625,-1094.9014892578125,-1163.4046630859375,-1071.157470703125,-664.3082885742188,-1322.0657958984375,-1512.3056640625
316014.05891448335,-651.9826049804688,-1223.90576171875,-1090.9505615234375,-1159.4033203125,-1067.0587158203125,-660.076171875,-1318.159423828125,-1508.3668212890625
316014.06291448337,-655.735107421875,-1228.9217529296875,-1095.7867431640625,-1164.3018798828125,-1070.82568359375,-662.7355346679688,-1323.421142578125,-1513.19091796875
316014.0669144833,-661.7068481445312,-1235.2471923828125,-1101.9942626953125,-1170.60986328125,-1076.803955078125,-668.4454345703125,-1329.7371826171875,-1519.4439697265625
316014.07091448334,-661.58642578125,-1234.3409423828125,-1101.1663818359375,-1169.7950439453125,-1076.696044921875,-669.0145263671875,-1328.633544921875,-1518.70654296875
316014.07491448335,-656.2247314453125,-1228.245849609375,-1095.2197265625,-1163.677490234375,-1071.4752197265625,-664.4031982421875,-1322.5299072265625,-1512.9022216796875
316014.07891448337,-651.8172607421875,-1223.9666748046875,-1090.9481201171875,-1159.3084716796875,-1067.05419921875,-659.8468627929688,-1318.4012451171875,-1508.6400146484375
316014.0829144833,-654.9842529296875,-1228.444091796875,-1095.2156982421875,-1163.6199951171875,-1070.256103515625,-661.9776611328125,-1323.052978515625,-1512.8612060546875
316014.08691448334,-660.9149780273438,-1234.6002197265625,-1101.2923583984375,-1169.9014892578125,-1076.10595703125,-667.5701293945312,-1329.1630859375,-1518.9423828125
316014.09091448336,-660.9774169921875,-1233.77392578125,-1100.6363525390625,-1169.228515625,-1076.10791015625,-668.2691040039062,-1328.3072509765625,-1518.3388671875
316014.0949144834,-656.121337890625,-1228.011474609375,-1095.07177734375,-1163.5780029296875,-1071.2503662109375,-664.2083740234375,-1322.4339599609375,-1512.759765625
316014.09891448333,-651.4915161132812,-1223.4266357421875,-1090.4964599609375,-1158.99462890625,-1066.5426025390625,-659.4706420898438,-1317.8746337890625,-1508.0885009765625
316014.10291448334,-654.9022827148438,-1228.1103515625,-1094.975341796875,-1163.43408203125,-1069.995361328125,-661.8177490234375,-1322.7471923828125,-1512.455078125
316014.10691448336,-661.0758666992188,-1234.66015625,-1101.4661865234375,-1170.048828125,-1076.2313232421875,-667.7420043945312,-1329.345947265625,-1518.997314453125
316014.1109144834,-661.037353515625,-1233.90625,-1100.8201904296875,-1169.328369140625,-1076.2802734375,-668.448974609375,-1328.4981689453125,-1518.4566650390625
316014.11491448333,-655.9559326171875,-1227.9835205078125,-1095.0352783203125,-1163.45166015625,-1071.25634765625,-664.1218872070312,-1322.416015625,-1512.682373046875
316014.11891448335,-651.5579833984375,-1223.572509765625,-1090.67236328125,-1159.113525390625,-1066.7564697265625,-659.5680541992188,-1318.0579833984375,-1508.21435546875
316014.12291448336,-655.0786743164062,-1228.498046875,-1095.3590087890625,-1163.897216796875,-1070.405029296875,-662.006591796875,-1323.1678466796875,-1512.95068359375
316014.1269144834,-661.3441162109375,-1235.2906494140625,-1101.9658203125,-1170.6478271484375,-1076.8173828125,-668.00732421875,-1329.970458984375,-1519.7462158203125
316014.13091448334,-661.7817993164062,-1234.7860107421875,-1101.612060546875,-1170.3470458984375,-1077.203125,-669.1803588867188,-1329.3280029296875,-1519.364501953125
316014.13491448335,-656.8402099609375,-1228.7938232421875,-1095.8546142578125,-1164.478271484375,-1072.1986083984375,-665.0076904296875,-1323.2523193359375,-1513.4632568359375
316014.13891448337,-651.8362426757812,-1224.066650390625,-1091.095458984375,-1159.565673828125,-1067.3199462890625,-659.9987182617188,-1318.47412109375,-1508.6795654296875
316014.1429144833,-655.314453125,-1228.8682861328125,-1095.6573486328125,-1164.282958984375,-1070.8297119140625,-662.3603515625,-1323.4486083984375,-1513.2298583984375
316014.14691448334,-661.1063232421875,-1235.0673828125,-1101.7030029296875,-1170.405029296875,-1076.6375732421875,-667.8389282226562,-1329.7171630859375,-1519.37451171875
316014.15091448335,-661.7178344726562,-1234.648193359375,-1101.4976806640625,-1170.2047119140625,-1077.0941162109375,-669.0994262695312,-1329.27197265625,-1519.1541748046875
316014.15491448337,-656.6574096679688,-1228.4591064453125,-1095.5618896484375,-1164.3084716796875,-1071.8538818359375,-664.7584228515625,-1322.943603515625,-1513.0970458984375
316014.1589144833,-651.99462890625,-1223.9022216796875,-1091.0010986328125,-1159.7115478515625,-1067.1466064453125,-659.9532470703125,-1318.421142578125,-1508.53369140625
316014.16291448334,-655.3014526367188,-1228.7384033203125,-1095.5264892578125,-1164.260498046875,-1070.6268310546875,-662.2134399414062,-1323.36279296875,-1513.14697265625
316014.1669144833,-661.616943359375,-1235.531982421875,-1102.16259765625,-1170.9581298828125,-1076.977783203125,-668.2201538085938,-1330.249267578125,-1519.91552734375
316014.1709144833,-662.10400390625,-1235.1572265625,-1101.96728515625,-1170.7017822265625,-1077.430419921875,-669.3927001953125,-1329.8525390625,-1519.772216796875
316014.17491448333,-656.7667846679688,-1228.9991455078125,-1096.006591796875,-1164.6661376953125,-1072.1995849609375,-664.8953247070312,-1323.51513671875,-1513.8228759765625
316014.17891448335,-651.9996337890625,-1224.42138671875,-1091.42822265625,-1160.05078125,-1067.4998779296875,-660.0366821289062,-1319.0267333984375,-1509.277099609375
316014.1829144833,-655.2620239257812,-1229.0301513671875,-1095.7957763671875,-1164.499267578125,-1070.7537841796875,-662.1510009765625,-1323.8758544921875,-1513.7034912109375
316014.1869144833,-661.4970092773438,-1235.703857421875,-1102.3189697265625,-1171.180908203125,-1077.0067138671875,-668.062255859375,-1330.573486328125,-1520.345703125
316014.19091448333,-662.481201171875,-1235.8287353515625,-1102.59326171875,-1171.4967041015625,-1077.9744873046875,-669.7913818359375,-1330.5704345703125,-1520.6539306640625
316014.19491448335,-657.06005859375,-1229.625244140625,-1096.5440673828125,-1165.1632080078125,-1072.6541748046875,-665.1470947265625,-1324.279052734375,-1514.69775390625
316014.1989144833,-651.7238159179688,-1224.31494140625,-1091.2593994140625,-1159.7305908203125,-1067.26708984375,-659.6984252929688,-1319.0086669921875,-1509.3055419921875
316014.2029144833,-654.9647216796875,-1228.7369384765625,-1095.4954833984375,-1164.10205078125,-1070.4384765625,-661.8822021484375,-1323.485107421875,-1513.370849609375
316014.20691448334,-661.466552734375,-1235.723876953125,-1102.321533203125,-1171.0684814453125,-1077.0047607421875,-668.0957641601562,-1330.4205322265625,-1520.23681640625
316014.21091448335,-662.2908935546875,-1235.75927734375,-1102.50439453125,-1171.25634765625,-1077.8885498046875,-669.6694946289062,-1330.4185791015625,-1520.517578125
316014.21491448337,-656.95166015625,-1229.5572509765625,-1096.5115966796875,-1165.09033203125,-1072.6207275390625,-665.1655883789062,-1324.150146484375,-1514.557373046875
316014.2189144833,-651.7782592773438,-1224.3194580078125,-1091.333251953125,-1159.8740234375,-1067.33251953125,-659.8778076171875,-1318.958251953125,-1509.2386474609375
316014.22291448334,-654.9118041992188,-1228.656494140625,-1095.4814453125,-1164.1260986328125,-1070.4129638671875,-661.9276733398438,-1323.463623046875,-1513.2169189453125
316014.22691448336,-661.5804443359375,-1235.7213134765625,-1102.41943359375,-1171.2618408203125,-1077.09521484375,-668.2666015625,-1330.5150146484375,-1520.1583251953125
316014.23091448337,-662.6111450195312,-1235.966064453125,-1102.78857421875,-1171.61962890625,-1078.183837890625,-669.9762573242188,-1330.7432861328125,-1520.666015625
316014.2349144833,-657.25390625,-1229.6826171875,-1096.70849609375,-1165.4085693359375,-1072.8914794921875,-665.4473266601562,-1324.410888671875,-1514.611328125
316014.23891448334,-651.5999145507812,-1224.023193359375,-1091.093994140625,-1159.7760009765625,-1067.2535400390625,-659.8133544921875,-1318.6524658203125,-1508.8724365234375
316014.24291448336,-654.6444702148438,-1228.4906005859375,-1095.2811279296875,-1164.090576171875,-1070.3914794921875,-661.789794921875,-1323.1708984375,-1513.004638671875
316014.2469144834,-661.4745483398438,-1235.769287109375,-1102.3843994140625,-1171.30029296875,-1077.2310791015625,-668.3310546875,-1330.4171142578125,-1520.1143798828125
316014.25091448333,-661.7802734375,-1235.015869140625,-1101.8238525390625,-1170.683349609375,-1077.4134521484375,-669.3727416992188,-1329.52978515625,-1519.4783935546875
316014.25491448335,-656.650390625,-1228.73388671875,-1095.8096923828125,-1164.565673828125,-1072.181640625,-665.03369140625,-1323.1494140625,-1513.3568115234375
316014.25891448336,-651.4935302734375,-1223.5899658203125,-1090.704345703125,-1159.3863525390625,-1067.0032958984375,-659.8328247070312,-1318.0615234375,-1508.19140625
316014.2629144834,-654.4161987304688,-1227.93359375,-1094.7540283203125,-1163.5235595703125,-1069.94140625,-661.6318969726562,-1322.54443359375,-1512.2171630859375
316014.2669144834,-661.4140625,-1235.3641357421875,-1102.041748046875,-1171.0120849609375,-1076.9052734375,-668.234130859375,-1329.982421875,-1519.5413818359375
316014.27091448335,-662.21142578125,-1235.4066162109375,-1102.203125,-1171.0989990234375,-1077.7791748046875,-669.8168334960938,-1329.885009765625,-1519.815185546875
316014.27491448337,-656.9396362304688,-1229.260009765625,-1096.2413330078125,-1164.9244384765625,-1072.5562744140625,-665.3104858398438,-1323.6590576171875,-1513.9803466796875
316014.2789144834,-651.726806640625,-1223.980712890625,-1091.0465087890625,-1159.6761474609375,-1067.301025390625,-660.1001586914062,-1318.4227294921875,-1508.697998046875
316014.2829144834,-654.51708984375,-1228.076416015625,-1094.900390625,-1163.6429443359375,-1070.0352783203125,-661.7672729492188,-1322.6917724609375,-1512.43701171875
316014.28691448335,-661.0918579101562,-1235.1258544921875,-1101.77099609375,-1170.6533203125,-1076.5401611328125,-667.87890625,-1329.81005859375,-1519.4000244140625
316014.29091448337,-662.284912109375,-1235.4429931640625,-1102.235595703125,-1171.1064453125,-1077.69921875,-669.7703857421875,-1330.035888671875,-1519.93505859375
316014.2949144834,-656.8897094726562,-1228.959228515625,-1096.010498046875,-1164.7955322265625,-1072.2335205078125,-665.1820678710938,-1323.460693359375,-1513.6630859375
316014.2989144834,-651.1353149414062,-1223.044921875,-1090.1796875,-1158.9417724609375,-1066.341796875,-659.4241943359375,-1317.4959716796875,-1507.661376953125
316014.30291448336,-653.78369140625,-1227.062255859375,-1093.918212890625,-1162.765625,-1068.9716796875,-660.9159545898438,-1321.651611328125,-1511.3509521484375
316014.3069144834,-660.5592651367188,-1234.42333984375,-1101.0775146484375,-1170.02880859375,-1075.76123046875,-667.221923828125,-1329.0721435546875,-1518.642578125
316014.3109144834,-661.8392333984375,-1234.7835693359375,-1101.5970458984375,-1170.5260009765625,-1076.9923095703125,-669.14892578125,-1329.4244384765625,-1519.238037109375
316014.3149144834,-657.179443359375,-1229.0626220703125,-1096.1494140625,-1164.949462890625,-1072.345947265625,-665.2744750976562,-1323.7314453125,-1513.805419921875
316014.31891448336,-651.02490234375,-1222.9820556640625,-1090.13623046875,-1158.7738037109375,-1066.334228515625,-659.226318359375,-1317.644287109375,-1507.7633056640625
316014.3229144834,-653.6477661132812,-1227.3140869140625,-1094.134521484375,-1162.82958984375,-1069.220947265625,-660.8115844726562,-1322.0677490234375,-1511.8470458984375
316014.3269144834,-660.6401977539062,-1235.101806640625,-1101.6510009765625,-1170.4384765625,-1076.4151611328125,-667.4767456054688,-1329.8165283203125,-1519.5413818359375
316014.3309144834,-661.941162109375,-1235.4200439453125,-1102.1591796875,-1170.9371337890625,-1077.646240234375,-669.4486694335938,-1330.1143798828125,-1520.0584716796875
316014.33491448336,-656.8397216796875,-1229.0526123046875,-1096.0975341796875,-1164.8804931640625,-1072.3929443359375,-665.09765625,-1323.678955078125,-1513.9188232421875
316014.3389144834,-651.2871704101562,-1223.375244140625,-1090.5064697265625,-1159.14599609375,-1066.7689208984375,-659.62548828125,-1317.97509765625,-1508.18798828125
316014.3429144834,-653.4888916015625,-1227.064697265625,-1093.8997802734375,-1162.5762939453125,-1069.0540771484375,-660.7601318359375,-1321.672607421875,-1511.4932861328125
316014.3469144834,-660.1445922851562,-1234.495849609375,-1101.050537109375,-1169.844970703125,-1075.882080078125,-667.0755615234375,-1329.0477294921875,-1518.8768310546875
316014.35091448337,-661.2537231445312,-1234.744140625,-1101.4251708984375,-1170.1846923828125,-1076.9837646484375,-668.9155883789062,-1329.1661376953125,-1519.3310546875
316014.3549144834,-655.7815551757812,-1228.073974609375,-1095.0528564453125,-1163.64794921875,-1071.3912353515625,-664.2952880859375,-1322.4124755859375,-1512.826171875
316014.3589144834,-649.66650390625,-1221.6375732421875,-1088.7637939453125,-1157.216064453125,-1065.0137939453125,-658.0807495117188,-1316.0755615234375,-1506.31298828125
316014.3629144834,-652.3603515625,-1225.6458740234375,-1092.525390625,-1161.03955078125,-1067.6207275390625,-659.5670776367188,-1320.24072265625,-1509.9725341796875
316014.36691448337,-659.571044921875,-1233.4296875,-1100.1107177734375,-1168.7608642578125,-1074.8099365234375,-666.32763671875,-1328.0599365234375,-1517.641845703125
316014.3709144834,-660.7800903320312,-1233.552001953125,-1100.446533203125,-1169.0831298828125,-1075.7886962890625,-668.16015625,-1328.1513671875,-1517.944580078125
