[01:34:52] === stream sub02_ses01_20260723_180607 ===
[01:34:53] subject=sub02 trials=62 train=31 eval=31
[01:34:56] [sub02] shallow task fold0 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:14] fold4 ep 004 tr=0.4253 va=0.7383 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:14] fold4 ep 005 tr=0.3865 va=0.6968 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:14] fold4 ep 006 tr=0.3201 va=0.6053 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:14] fold4 ep 007 tr=0.3147 va=0.6107 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:15] fold4 ep 008 tr=0.2960 va=0.5551 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:15] fold4 ep 009 tr=0.2600 va=0.5263 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:15] fold4 ep 010 tr=0.2457 va=0.5588 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:15] fold4 ep 011 tr=0.2118 va=0.5303 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:15] fold4 ep 012 tr=0.2016 va=0.4977 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:15] fold4 ep 013 tr=0.1931 va=0.4837 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:15] fold4 ep 014 tr=0.1905 va=0.4979 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:15] fold4 ep 015 tr=0.1637 va=0.4942 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:15] fold4 ep 016 tr=0.1728 va=0.4698 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 017 tr=0.1442 va=0.4636 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 018 tr=0.1525 va=0.4544 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 019 tr=0.1556 va=0.4381 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 020 tr=0.1324 va=0.3884 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 021 tr=0.1119 va=0.4070 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 022 tr=0.1140 va=0.4115 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 023 tr=0.1070 va=0.4053 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 024 tr=0.1108 va=0.3519 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:16] fold4 ep 025 tr=0.0898 va=0.3763 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:17] fold4 ep 026 tr=0.0977 va=0.3738 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:17] fold4 ep 027 tr=0.1060 va=0.4334 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:17] fold4 ep 028 tr=0.0748 va=0.3711 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:17]   early stop @ ep 28
[01:35:17] [eval_half] Acc_paper=0.6066 BalAcc_maj=0.6086 win_BalAcc=0.5527
[01:35:17] [sub02] shallow three fold0 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:17] fold0 ep 001 tr=1.2255 va=1.0720 val_AccPaper=0.5000 val_BalAccMaj=0.5000
[01:35:17] fold0 ep 002 tr=1.0338 va=1.0072 val_AccPaper=0.5000 val_BalAccMaj=0.6111
[01:35:17] fold0 ep 003 tr=0.9019 va=0.9844 val_AccPaper=0.3333 val_BalAccMaj=0.5556
[01:35:18] fold0 ep 004 tr=0.8320 va=0.9528 val_AccPaper=0.2500 val_BalAccMaj=0.5000
[01:35:18] fold0 ep 005 tr=0.7765 va=0.8921 val_AccPaper=0.5833 val_BalAccMaj=0.5000
[01:35:18] fold0 ep 006 tr=0.6953 va=0.8798 val_AccPaper=0.5833 val_BalAccMaj=0.5000
[01:35:18] fold0 ep 007 tr=0.6616 va=0.8589 val_AccPaper=0.5833 val_BalAccMaj=0.5000
[01:35:18] fold0 ep 008 tr=0.6335 va=0.8525 val_AccPaper=0.5000 val_BalAccMaj=0.3889
[01:35:18] fold0 ep 009 tr=0.5668 va=0.8606 val_AccPaper=0.5000 val_BalAccMaj=0.4444
[01:35:18] fold0 ep 010 tr=0.5243 va=0.7946 val_AccPaper=0.7500 val_BalAccMaj=0.7222
[01:35:18] fold0 ep 011 tr=0.4956 va=0.8138 val_AccPaper=0.5833 val_BalAccMaj=0.5556
[01:35:19] fold0 ep 012 tr=0.4572 va=0.8103 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:19] fold0 ep 013 tr=0.4067 va=0.7975 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:19] fold0 ep 014 tr=0.3879 va=0.7911 val_AccPaper=0.7500 val_BalAccMaj=0.6667
[01:35:19] fold0 ep 015 tr=0.3775 va=0.7687 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:19] fold0 ep 016 tr=0.3430 va=0.7834 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:19] fold0 ep 017 tr=0.3498 va=0.7720 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:19] fold0 ep 018 tr=0.3340 va=0.7898 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:19] fold0 ep 019 tr=0.2990 va=0.7894 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:19] fold0 ep 020 tr=0.2974 va=0.7829 val_AccPaper=0.7500 val_BalAccMaj=0.6667
[01:35:20] fold0 ep 021 tr=0.2818 va=0.7524 val_AccPaper=0.7500 val_BalAccMaj=0.6667
[01:35:20] fold0 ep 022 tr=0.2590 va=0.7545 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:20] fold0 ep 023 tr=0.2499 va=0.7356 val_AccPaper=0.8333 val_BalAccMaj=0.7778
[01:35:20] fold0 ep 024 tr=0.2326 va=0.7340 val_AccPaper=0.8333 val_BalAccMaj=0.7778
[01:35:20] fold0 ep 025 tr=0.2253 va=0.7448 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:20] fold0 ep 026 tr=0.2036 va=0.7398 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:20] fold0 ep 027 tr=0.1956 va=0.7561 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:20] fold0 ep 028 tr=0.1976 va=0.7307 val_AccPaper=0.7500 val_BalAccMaj=0.7778
[01:35:21] fold0 ep 029 tr=0.1697 va=0.7604 val_AccPaper=0.7500 val_BalAccMaj=0.6667
