start scheme21 arm=J1_tok n_times=1000 t0_max=None two_stage=None inwin=True
fold3 ep 011  tr=1.2786  val_AccPaper=0.6015  val_BalAccMaj=0.6059
fold3 ep 012  tr=1.2744  val_AccPaper=0.6111  val_BalAccMaj=0.6163
fold3 ep 013  tr=1.2685  val_AccPaper=0.6044  val_BalAccMaj=0.6093
fold3 ep 014  tr=1.2648  val_AccPaper=0.6111  val_BalAccMaj=0.6152
fold3 ep 015  tr=1.2641  val_AccPaper=0.6000  val_BalAccMaj=0.6033
fold3 ep 016  tr=1.2560  val_AccPaper=0.6063  val_BalAccMaj=0.6119
fold3 ep 017  tr=1.2528  val_AccPaper=0.6059  val_BalAccMaj=0.6100
fold3 ep 018  tr=1.2490  val_AccPaper=0.6070  val_BalAccMaj=0.6130
fold3 ep 019  tr=1.2416  val_AccPaper=0.6033  val_BalAccMaj=0.6089
fold3 ep 020  tr=1.2427  val_AccPaper=0.6044  val_BalAccMaj=0.6085
fold3 ep 021  tr=1.2345  val_AccPaper=0.5974  val_BalAccMaj=0.6007
fold3 ep 022  tr=1.2330  val_AccPaper=0.5952  val_BalAccMaj=0.5996
fold3 ep 023  tr=1.2303  val_AccPaper=0.6056  val_BalAccMaj=0.6096
fold3 ep 024  tr=1.2289  val_AccPaper=0.6033  val_BalAccMaj=0.6096
fold3 ep 025  tr=1.2258  val_AccPaper=0.6037  val_BalAccMaj=0.6078
fold3 ep 026  tr=1.2191  val_AccPaper=0.6078  val_BalAccMaj=0.6126
fold3 ep 027  tr=1.2188  val_AccPaper=0.5985  val_BalAccMaj=0.6044
fold3 ep 028  tr=1.2161  val_AccPaper=0.5996  val_BalAccMaj=0.6056
fold3 ep 029  tr=1.2145  val_AccPaper=0.6007  val_BalAccMaj=0.6085
fold3 ep 030  tr=1.2113  val_AccPaper=0.5952  val_BalAccMaj=0.6019
fold3 ep 031  tr=1.2099  val_AccPaper=0.6052  val_BalAccMaj=0.6074
fold3 ep 032  tr=1.2095  val_AccPaper=0.5926  val_BalAccMaj=0.5993
fold4 ep 001  tr=1.7291  val_AccPaper=0.5067  val_BalAccMaj=0.5130
