[15:33:02] === S1 cues=1398 train=699 eval=699 ===
[15:39:27] fold1 ep 020 tr=0.1827 va=0.3877 val_AccPaper=0.8714
[15:39:28] fold1 ep 021 tr=0.1821 va=0.4236 val_AccPaper=0.8536
[15:39:30] fold1 ep 022 tr=0.1768 va=0.4000 val_AccPaper=0.8714
[15:39:31] fold1 ep 023 tr=0.1758 va=0.4027 val_AccPaper=0.8821
[15:39:33] fold1 ep 024 tr=0.1737 va=0.4065 val_AccPaper=0.8857
[15:39:33]   early stop @ ep 24
[15:39:35] [S1] three fold2 ft_tr=17798 ft_va=4408 eval=22239
[15:39:36] fold2 ep 001 tr=0.6475 va=0.4417 val_AccPaper=0.8607
[15:39:38] fold2 ep 002 tr=0.4480 va=0.3742 val_AccPaper=0.8857
[15:39:39] fold2 ep 003 tr=0.3670 va=0.3389 val_AccPaper=0.8964
[15:39:41] fold2 ep 004 tr=0.3264 va=0.3322 val_AccPaper=0.9036
[15:39:42] fold2 ep 005 tr=0.2971 va=0.3352 val_AccPaper=0.9036
[15:39:43] fold2 ep 006 tr=0.2793 va=0.3313 val_AccPaper=0.8929
[15:39:45] fold2 ep 007 tr=0.2671 va=0.3201 val_AccPaper=0.8964
[15:39:46] fold2 ep 008 tr=0.2574 va=0.3301 val_AccPaper=0.8857
[15:39:48] fold2 ep 009 tr=0.2447 va=0.3173 val_AccPaper=0.9000
[15:39:49] fold2 ep 010 tr=0.2349 va=0.3554 val_AccPaper=0.8929
[15:39:51] fold2 ep 011 tr=0.2260 va=0.3322 val_AccPaper=0.8893
[15:39:52] fold2 ep 012 tr=0.2120 va=0.3339 val_AccPaper=0.8893
[15:39:54] fold2 ep 013 tr=0.2162 va=0.3271 val_AccPaper=0.8786
[15:39:55] fold2 ep 014 tr=0.2089 va=0.3388 val_AccPaper=0.8714
[15:39:57] fold2 ep 015 tr=0.2019 va=0.3403 val_AccPaper=0.8857
[15:39:58] fold2 ep 016 tr=0.1967 va=0.3327 val_AccPaper=0.8857
[15:39:59] fold2 ep 017 tr=0.1919 va=0.3467 val_AccPaper=0.8786
